model,decoding_tps,prefill_tps,run_id,mode,temperature,repeat_penalty,top_p,top_k,min_p,ctx_size,keep,batch_size,ubatch_size,threads,ngl,ctk,ctv,flash_attn,poll_level,use_mmap,split_mode,dry_multiplier,frequency_penalty,presence_penalty,token_limit,prompt_tokens,gen_tokens,run_tag,log_file
microsoft_Phi-4-mini-instruct-Q4_K_M,9.30,18.38,12,CPU,0.6,1.1,0.9,40,0.05,1024,0,256,64,8,0,q4_0,q4_0,1,30,0,layer,0.5,0.0,0.0,600,256,128,trial12_microsoft_Phi-4-mini-instruct-Q4_K_M_modeCPU_T0.6_P0.9_K40_minp0.05_C1024_Bcpu256_thr8_ngl0_pp256_tg128_fa1,hyperparam_bench_random_20251210_145044/trial12_microsoft_Phi-4-mini-instruct-Q4_K_M_modeCPU_T0.6_P0.9_K40_minp0.05_C1024_Bcpu256_thr8_ngl0_pp256_tg128_fa1.log
gemma-3n-5b-e2b-bf16_q4_0,11.70,48.52,13,CPU,0.4,1.2,1.0,40,0.15,1024,4,128,64,6,0,f16,f16,1,30,0,none,0.5,0.2,0.2,600,256,128,trial13_gemma-3n-5b-e2b-bf16_q4_0_modeCPU_T0.4_P1.0_K40_minp0.15_C1024_Bcpu128_thr6_ngl0_pp256_tg128_fa1,hyperparam_bench_random_20251210_145044/trial13_gemma-3n-5b-e2b-bf16_q4_0_modeCPU_T0.4_P1.0_K40_minp0.15_C1024_Bcpu128_thr6_ngl0_pp256_tg128_fa1.log
MobileLLM-R1-360M_Q8_0,121.66,346.24,14,CPU,0.2,1.1,0.95,20,0.1,512,0,64,256,4,0,q4_0,q4_0,1,30,0,layer,0.0,0.1,0.0,600,256,256,trial14_MobileLLM-R1-360M_Q8_0_modeCPU_T0.2_P0.95_K20_minp0.1_C512_Bcpu64_thr4_ngl0_pp256_tg256_fa1,hyperparam_bench_random_20251210_145044/trial14_MobileLLM-R1-360M_Q8_0_modeCPU_T0.2_P0.95_K20_minp0.1_C512_Bcpu64_thr4_ngl0_pp256_tg256_fa1.log
qwen2-7b-tinytron-Q4_K_M,11.97,22.53,15,CPU,0.8,1.2,0.95,40,0.1,4096,4,64,128,4,0,q4_0,f16,1,30,0,none,1.0,0.2,0.2,600,256,128,trial15_qwen2-7b-tinytron-Q4_K_M_modeCPU_T0.8_P0.95_K40_minp0.1_C4096_Bcpu64_thr4_ngl0_pp256_tg128_fa1,hyperparam_bench_random_20251210_145044/trial15_qwen2-7b-tinytron-Q4_K_M_modeCPU_T0.8_P0.95_K40_minp0.1_C4096_Bcpu64_thr4_ngl0_pp256_tg128_fa1.log
qwen2-7b-tinytron-Q4_K_M,15.56,35.70,16,CPU,0.2,1.0,0.9,20,0.05,4096,0,64,256,8,0,q4_0,q8_0,1,30,0,layer,0.0,0.0,0.0,600,256,256,trial16_qwen2-7b-tinytron-Q4_K_M_modeCPU_T0.2_P0.9_K20_minp0.05_C4096_Bcpu64_thr8_ngl0_pp256_tg256_fa1,hyperparam_bench_random_20251210_145044/trial16_qwen2-7b-tinytron-Q4_K_M_modeCPU_T0.2_P0.9_K20_minp0.05_C4096_Bcpu64_thr8_ngl0_pp256_tg256_fa1.log
qwen2-7b-tinytron-Q4_K_M,9.75,18.24,17,CPU,0.4,1.2,1.0,40,0.15,1024,4,128,64,6,0,f16,f16,1,30,0,none,0.0,0.2,0.4,600,256,128,trial17_qwen2-7b-tinytron-Q4_K_M_modeCPU_T0.4_P1.0_K40_minp0.15_C1024_Bcpu128_thr6_ngl0_pp256_tg128_fa1,hyperparam_bench_random_20251210_145044/trial17_qwen2-7b-tinytron-Q4_K_M_modeCPU_T0.4_P1.0_K40_minp0.15_C1024_Bcpu128_thr6_ngl0_pp256_tg128_fa1.log
qwen2.5-3b-instruct-q4_k_m,15.51,19.61,18,CPU,0.2,1.0,1.0,60,0.15,512,0,128,256,6,0,q8_0,q8_0,1,30,0,layer,0.0,0.2,0.4,600,256,256,trial18_qwen2.5-3b-instruct-q4_k_m_modeCPU_T0.2_P1.0_K60_minp0.15_C512_Bcpu128_thr6_ngl0_pp256_tg256_fa1,hyperparam_bench_random_20251210_145044/trial18_qwen2.5-3b-instruct-q4_k_m_modeCPU_T0.2_P1.0_K60_minp0.15_C512_Bcpu128_thr6_ngl0_pp256_tg256_fa1.log
microsoft_Phi-4-mini-instruct-Q4_K_M,14.03,30.16,19,CPU,0.8,1.1,0.9,20,0.05,4096,4,256,256,8,0,q8_0,q4_0,1,30,0,none,0.5,0.1,0.0,600,256,128,trial19_microsoft_Phi-4-mini-instruct-Q4_K_M_modeCPU_T0.8_P0.9_K20_minp0.05_C4096_Bcpu256_thr8_ngl0_pp256_tg128_fa1,hyperparam_bench_random_20251210_145044/trial19_microsoft_Phi-4-mini-instruct-Q4_K_M_modeCPU_T0.8_P0.9_K20_minp0.05_C4096_Bcpu256_thr8_ngl0_pp256_tg128_fa1.log
TinyLlama-1.1B-Chat-Q4_K_M,23.81,40.11,20,CPU,0.8,1.1,0.95,20,0.1,4096,4,64,256,4,0,q4_0,q4_0,1,30,0,none,1.0,0.1,0.2,600,256,128,trial20_TinyLlama-1.1B-Chat-Q4_K_M_modeCPU_T0.8_P0.95_K20_minp0.1_C4096_Bcpu64_thr4_ngl0_pp256_tg128_fa1,hyperparam_bench_random_20251210_145044/trial20_TinyLlama-1.1B-Chat-Q4_K_M_modeCPU_T0.8_P0.95_K20_minp0.1_C4096_Bcpu64_thr4_ngl0_pp256_tg128_fa1.log
gemma-3n-5b-e2b-bf16_q4_0,15.78,34.84,21,CPU,0.8,1.1,0.95,40,0.05,4096,4,64,64,4,0,q4_0,f16,1,30,0,none,0.5,0.2,0.2,600,256,128,trial21_gemma-3n-5b-e2b-bf16_q4_0_modeCPU_T0.8_P0.95_K40_minp0.05_C4096_Bcpu64_thr4_ngl0_pp256_tg128_fa1,hyperparam_bench_random_20251210_145044/trial21_gemma-3n-5b-e2b-bf16_q4_0_modeCPU_T0.8_P0.95_K40_minp0.05_C4096_Bcpu64_thr4_ngl0_pp256_tg128_fa1.log
gemma-3n-5b-e2b-bf16_q4_0,20.17,80.50,22,CPU,0.4,1.2,1.0,60,0.15,512,4,256,128,6,0,q8_0,f16,1,30,0,none,1.0,0.2,0.4,600,256,256,trial22_gemma-3n-5b-e2b-bf16_q4_0_modeCPU_T0.4_P1.0_K60_minp0.15_C512_Bcpu256_thr6_ngl0_pp256_tg256_fa1,hyperparam_bench_random_20251210_145044/trial22_gemma-3n-5b-e2b-bf16_q4_0_modeCPU_T0.4_P1.0_K60_minp0.15_C512_Bcpu256_thr6_ngl0_pp256_tg256_fa1.log
minicpm-3b-openhermes-2.5-v2.Q4_K_M,12.89,24.64,23,CPU,0.4,1.1,0.95,40,0.1,512,4,128,64,4,0,f16,q4_0,1,30,0,none,0.5,0.1,0.2,600,256,256,trial23_minicpm-3b-openhermes-2.5-v2.Q4_K_M_modeCPU_T0.4_P0.95_K40_minp0.1_C512_Bcpu128_thr4_ngl0_pp256_tg256_fa1,hyperparam_bench_random_20251210_145044/trial23_minicpm-3b-openhermes-2.5-v2.Q4_K_M_modeCPU_T0.4_P0.95_K40_minp0.1_C512_Bcpu128_thr4_ngl0_pp256_tg256_fa1.log
Llama-3.2-3B-Instruct-Q4_K_M,13.76,38.68,24,CPU,0.4,1.0,1.0,20,0.15,512,4,256,256,8,0,q4_0,q8_0,1,30,0,none,0.0,0.0,0.4,600,256,256,trial24_Llama-3.2-3B-Instruct-Q4_K_M_modeCPU_T0.4_P1.0_K20_minp0.15_C512_Bcpu256_thr8_ngl0_pp256_tg256_fa1,hyperparam_bench_random_20251210_145044/trial24_Llama-3.2-3B-Instruct-Q4_K_M_modeCPU_T0.4_P1.0_K20_minp0.15_C512_Bcpu256_thr8_ngl0_pp256_tg256_fa1.log
Llama-3.2-1B-Instruct-Q4_0,35.78,166.21,25,CPU,0.4,1.1,0.9,40,0.05,512,4,64,64,8,0,q4_0,q4_0,1,30,0,none,0.5,0.0,0.2,600,256,256,trial25_Llama-3.2-1B-Instruct-Q4_0_modeCPU_T0.4_P0.9_K40_minp0.05_C512_Bcpu64_thr8_ngl0_pp256_tg256_fa1,hyperparam_bench_random_20251210_145044/trial25_Llama-3.2-1B-Instruct-Q4_0_modeCPU_T0.4_P0.9_K40_minp0.05_C512_Bcpu64_thr8_ngl0_pp256_tg256_fa1.log
deepseek-r1-7b-bf16_q4_0,8.17,31.75,26,CPU,0.4,1.0,0.9,60,0.05,1024,4,256,256,8,0,q8_0,q8_0,1,30,0,none,0.0,0.0,0.4,600,256,128,trial26_deepseek-r1-7b-bf16_q4_0_modeCPU_T0.4_P0.9_K60_minp0.05_C1024_Bcpu256_thr8_ngl0_pp256_tg128_fa1,hyperparam_bench_random_20251210_145044/trial26_deepseek-r1-7b-bf16_q4_0_modeCPU_T0.4_P0.9_K60_minp0.05_C1024_Bcpu256_thr8_ngl0_pp256_tg128_fa1.log
TinyLlama-1.1B-Chat-Q4_K_M,21.56,42.06,27,CPU,0.2,1.2,0.95,60,0.1,4096,0,128,128,4,0,f16,f16,1,30,0,layer,1.0,0.1,0.4,600,256,256,trial27_TinyLlama-1.1B-Chat-Q4_K_M_modeCPU_T0.2_P0.95_K60_minp0.1_C4096_Bcpu128_thr4_ngl0_pp256_tg256_fa1,hyperparam_bench_random_20251210_145044/trial27_TinyLlama-1.1B-Chat-Q4_K_M_modeCPU_T0.2_P0.95_K60_minp0.1_C4096_Bcpu128_thr4_ngl0_pp256_tg256_fa1.log
DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M,24.70,49.40,28,CPU,0.4,1.1,0.95,20,0.1,1024,4,64,64,4,0,q4_0,q4_0,1,30,0,none,0.5,0.1,0.0,600,256,128,trial28_DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M_modeCPU_T0.4_P0.95_K20_minp0.1_C1024_Bcpu64_thr4_ngl0_pp256_tg128_fa1,hyperparam_bench_random_20251210_145044/trial28_DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M_modeCPU_T0.4_P0.95_K20_minp0.1_C1024_Bcpu64_thr4_ngl0_pp256_tg128_fa1.log
TinyLlama-1.1B-Chat-Q4_K_M,50.51,86.71,29,CPU,0.8,1.2,1.0,60,0.15,2048,4,128,128,6,0,q8_0,f16,1,30,0,none,0.0,0.2,0.4,600,512,256,trial29_TinyLlama-1.1B-Chat-Q4_K_M_modeCPU_T0.8_P1.0_K60_minp0.15_C2048_Bcpu128_thr6_ngl0_pp512_tg256_fa1,hyperparam_bench_random_20251210_145044/trial29_TinyLlama-1.1B-Chat-Q4_K_M_modeCPU_T0.8_P1.0_K60_minp0.15_C2048_Bcpu128_thr6_ngl0_pp512_tg256_fa1.log
MobileLLM-R1-950M_Q4_K_S,40.30,88.42,30,CPU,0.6,1.2,1.0,60,0.1,2048,0,128,128,4,0,f16,f16,1,30,0,layer,1.0,0.2,0.4,600,256,256,trial30_MobileLLM-R1-950M_Q4_K_S_modeCPU_T0.6_P1.0_K60_minp0.1_C2048_Bcpu128_thr4_ngl0_pp256_tg256_fa1,hyperparam_bench_random_20251210_145044/trial30_MobileLLM-R1-950M_Q4_K_S_modeCPU_T0.6_P1.0_K60_minp0.1_C2048_Bcpu128_thr4_ngl0_pp256_tg256_fa1.log
MobileLLM-R1-360M_Q8_0,124.71,359.20,31,CPU,0.2,1.2,0.95,60,0.1,4096,0,128,128,4,0,f16,f16,1,30,0,layer,1.0,0.1,0.2,600,256,128,trial31_MobileLLM-R1-360M_Q8_0_modeCPU_T0.2_P0.95_K60_minp0.1_C4096_Bcpu128_thr4_ngl0_pp256_tg128_fa1,hyperparam_bench_random_20251210_145044/trial31_MobileLLM-R1-360M_Q8_0_modeCPU_T0.2_P0.95_K60_minp0.1_C4096_Bcpu128_thr4_ngl0_pp256_tg128_fa1.log
granite-3.3-8b-instruct-Q4_K_M,5.03,14.04,32,CPU,0.4,1.0,0.9,60,0.15,1024,4,256,128,8,0,q8_0,q8_0,1,30,0,none,1.0,0.0,0.4,600,256,128,trial32_granite-3.3-8b-instruct-Q4_K_M_modeCPU_T0.4_P0.9_K60_minp0.15_C1024_Bcpu256_thr8_ngl0_pp256_tg128_fa1,hyperparam_bench_random_20251210_145044/trial32_granite-3.3-8b-instruct-Q4_K_M_modeCPU_T0.4_P0.9_K60_minp0.15_C1024_Bcpu256_thr8_ngl0_pp256_tg128_fa1.log
Llama-3.2-3B-Instruct-Q4_K_M,7.35,14.88,33,CPU,0.4,1.2,0.95,40,0.1,512,4,64,128,4,0,f16,f16,1,30,0,layer,1.0,0.1,0.2,600,256,256,trial33_Llama-3.2-3B-Instruct-Q4_K_M_modeCPU_T0.4_P0.95_K40_minp0.1_C512_Bcpu64_thr4_ngl0_pp256_tg256_fa1,hyperparam_bench_random_20251210_145044/trial33_Llama-3.2-3B-Instruct-Q4_K_M_modeCPU_T0.4_P0.95_K40_minp0.1_C512_Bcpu64_thr4_ngl0_pp256_tg256_fa1.log
qwen2-7b-tinytron-Q4_K_M,9.80,18.36,34,CPU,0.6,1.2,1.0,60,0.15,1024,0,256,128,6,0,q8_0,f16,1,30,0,layer,1.0,0.2,0.4,600,256,256,trial34_qwen2-7b-tinytron-Q4_K_M_modeCPU_T0.6_P1.0_K60_minp0.15_C1024_Bcpu256_thr6_ngl0_pp256_tg256_fa1,hyperparam_bench_random_20251210_145044/trial34_qwen2-7b-tinytron-Q4_K_M_modeCPU_T0.6_P1.0_K60_minp0.15_C1024_Bcpu256_thr6_ngl0_pp256_tg256_fa1.log
deepseek-r1-7b-bf16_q4_0,8.11,29.78,35,CPU,0.2,1.0,0.95,20,0.05,512,0,64,256,8,0,q4_0,q8_0,1,30,0,layer,0.0,0.1,0.0,600,256,256,trial35_deepseek-r1-7b-bf16_q4_0_modeCPU_T0.2_P0.95_K20_minp0.05_C512_Bcpu64_thr8_ngl0_pp256_tg256_fa1,hyperparam_bench_random_20251210_145044/trial35_deepseek-r1-7b-bf16_q4_0_modeCPU_T0.2_P0.95_K20_minp0.05_C512_Bcpu64_thr8_ngl0_pp256_tg256_fa1.log
microsoft_Phi-4-mini-instruct-Q4_K_M,9.95,18.34,36,CPU,0.6,1.0,0.95,20,0.05,1024,0,64,256,8,0,q4_0,q8_0,1,30,0,layer,0.0,0.0,0.0,600,256,256,trial36_microsoft_Phi-4-mini-instruct-Q4_K_M_modeCPU_T0.6_P0.95_K20_minp0.05_C1024_Bcpu64_thr8_ngl0_pp256_tg256_fa1,hyperparam_bench_random_20251210_145044/trial36_microsoft_Phi-4-mini-instruct-Q4_K_M_modeCPU_T0.6_P0.95_K20_minp0.05_C1024_Bcpu64_thr8_ngl0_pp256_tg256_fa1.log
MobileLLM-R1-950M_Q5_K_M,28.97,49.99,37,CPU,0.2,1.0,0.9,60,0.05,4096,0,256,256,8,0,q4_0,q4_0,1,30,0,none,0.5,0.0,0.0,600,256,128,trial37_MobileLLM-R1-950M_Q5_K_M_modeCPU_T0.2_P0.9_K60_minp0.05_C4096_Bcpu256_thr8_ngl0_pp256_tg128_fa1,hyperparam_bench_random_20251210_145044/trial37_MobileLLM-R1-950M_Q5_K_M_modeCPU_T0.2_P0.9_K60_minp0.05_C4096_Bcpu256_thr8_ngl0_pp256_tg128_fa1.log
MobileLLM-R1-360M_Q8_0,99.13,230.28,38,CPU,0.8,1.0,0.9,20,0.15,2048,4,256,256,6,0,q8_0,q8_0,1,30,0,none,0.0,0.0,0.0,600,512,128,trial38_MobileLLM-R1-360M_Q8_0_modeCPU_T0.8_P0.9_K20_minp0.15_C2048_Bcpu256_thr6_ngl0_pp512_tg128_fa1,hyperparam_bench_random_20251210_145044/trial38_MobileLLM-R1-360M_Q8_0_modeCPU_T0.8_P0.9_K20_minp0.15_C2048_Bcpu256_thr6_ngl0_pp512_tg128_fa1.log
