run_id,model,mode,temperature,repeat_penalty,top_p,top_k,ctx_size,keep,batch_size,ubatch_size,threads,ngl,ctk,ctv,flash_attn,context_shift,poll_level,use_mmap,split_mode,system_prompt,bleurt_score,accuracy,avg_prefill_speed,avg_decode_speed,avg_total_speed,runtime_seconds
15,LFM2-8B-A1B-Q4_K_M.gguf,CPU,0.8,1.0,0.9,20,2048,4,256,256,4,0,f16,q8_0,on,1,0,1,none,"",-0.9694932496547699,0.44,23.40,15.55,17.05,756
16,LFM2-8B-A1B-Q4_K_M.gguf,CPU,0.3,1.1,0.7,60,512,4,512,512,8,0,f16,f16,on,1,50,0,none,"",-0.6481014749407769,0.64,32.46,21.51,22.36,735
17,microsoft_Phi-4-mini-instruct-Q4_K_M.gguf,CPU,0.8,1.25,0.7,60,1024,4,64,64,2,0,f16,f16,off,1,100,1,none,"",-0.897926732301712,0.44,16.11,11.00,11.40,872
18,qwen2-7b-tinytron-Q4_K_M.gguf,CPU,0.3,1.0,0.9,20,4096,4,64,64,6,0,f16,q8_0,on,1,50,1,none,"",-0.6465480592846871,0.68,28.86,19.05,20.28,729
19,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,CPU,0.3,1.25,0.85,80,1024,4,64,64,2,0,f16,f16,off,1,50,1,none,"",-0.6204180961847305,0.6,16.65,10.67,11.10,964
20,microsoft_Phi-4-mini-instruct-Q4_K_M.gguf,CPU,0.3,1.0,0.9,20,4096,4,1024,1024,6,0,f16,q8_0,on,1,50,1,none,"",-0.6465480592846871,0.68,28.21,18.87,20.11,732
21,qwen2-7b-tinytron-Q4_K_M.gguf,CPU,0.8,1.1,0.95,60,512,4,64,64,8,0,f16,f16,off,1,0,1,none,"",-0.8731990385055542,0.56,33.90,21.26,22.51,668
22,qwen2-7b-tinytron-Q4_K_M.gguf,CPU,0.3,1.1,0.95,60,512,4,64,64,8,0,f16,f16,on,1,50,0,none,"",-0.5280185692633191,0.625,34.53,21.69,22.75,739
23,Llama-3.2-1B-Instruct-Q4_K_M.gguf,CPU,0.7,1.25,0.7,80,1024,4,1024,1024,2,0,f16,f16,off,1,50,0,none,"",-0.9111461138725281,0.6,17.83,11.06,11.75,904
24,LFM2-8B-A1B-Q4_K_M.gguf,CPU,0.3,1.0,0.9,20,4096,4,64,64,4,0,f16,q8_0,on,1,0,1,none,"",-0.6465480592846871,0.68,23.16,15.66,16.53,774
25,qwen2-7b-tinytron-Q4_K_M.gguf,CPU,0.3,1.5,0.9,60,512,4,64,64,8,0,f16,q8_0,on,1,0,0,none,"",-0.8323644781112671,0.68,31.85,21.76,22.71,785
26,LFM2-8B-A1B-Q4_K_M.gguf,CPU,0.8,1.0,0.9,20,2048,4,64,64,4,0,f16,q8_0,on,1,100,0,none,"",-0.9694932496547699,0.44,23.22,15.77,17.27,785
27,microsoft_Phi-4-mini-instruct-Q4_K_M.gguf,CPU,0.8,1.0,0.9,40,4096,4,128,128,6,0,q8_0,q8_0,on,1,100,1,none,"",-0.7765610292367637,0.6,28.83,18.81,20.05,726
28,Llama-3.2-1B-Instruct-Q4_K_M.gguf,CPU,0.8,1.25,0.85,80,1024,4,256,256,2,0,f16,f16,off,1,100,1,none,"",-1.002266675233841,0.52,17.70,11.14,11.85,882
29,minicpm-3b-openhermes-2.5-v2.Q4_K_M.gguf,CPU,0.3,1.5,0.85,80,1024,4,256,256,2,0,f16,f16,off,1,100,1,none,"",-0.83135626912117,0.52,17.38,11.15,11.72,893
30,qwen2-7b-tinytron-Q4_K_M.gguf,CPU,0.8,1.1,0.95,60,512,4,128,128,8,0,f16,f16,off,1,0,1,none,"",-0.8731990385055542,0.56,33.10,21.06,22.20,648
31,microsoft_Phi-4-mini-instruct-Q4_K_M.gguf,CPU,0.8,1.25,0.7,60,1024,4,128,128,2,0,q8_0,q8_0,on,1,100,1,none,"",-0.7790530371665955,0.44,17.99,10.83,11.36,953
32,microsoft_Phi-4-mini-instruct-Q4_K_M.gguf,CPU,0.8,1.25,0.85,80,1024,4,256,256,2,0,f16,f16,off,1,100,1,none,"",-1.002266675233841,0.52,17.52,11.26,11.90,868
33,qwen2-7b-tinytron-Q4_K_M.gguf,CPU,0.3,1.0,0.9,40,4096,4,256,256,6,0,f16,f16,off,1,50,0,none,"",-0.6633631810545921,0.6,27.00,18.67,19.25,779
34,minicpm-3b-openhermes-2.5-v2.Q4_K_M.gguf,CPU,0.7,1.0,0.9,20,2048,4,1024,1024,4,0,f16,q8_0,on,1,50,1,none,"",-0.8395893511672815,0.5833333333333334,21.93,15.11,15.78,791
35,microsoft_Phi-4-mini-instruct-Q4_K_M.gguf,CPU,0.8,1.25,0.7,60,1024,4,64,64,8,0,f16,q8_0,on,1,100,1,none,"",-0.8492303228378296,0.4,32.94,21.02,21.47,721
36,LFM2-8B-A1B-Q4_K_M.gguf,CPU,0.7,1.5,0.85,20,2048,4,256,256,4,0,f16,f16,on,1,100,0,none,"",-0.9392018961906433,0.56,20.65,15.26,15.79,894
37,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,CPU,0.7,1.5,0.85,20,2048,4,1024,1024,4,0,f16,f16,on,1,50,0,none,"",-0.9392018961906433,0.56,20.51,15.43,15.90,890
38,Llama-3.2-1B-Instruct-Q4_K_M.gguf,CPU,0.8,1.1,0.95,40,512,4,1024,1024,8,0,f16,f16,off,1,0,1,none,"",-0.7448147024427142,0.42857142857142855,38.08,20.88,21.70,228
39,LFM2-8B-A1B-Q4_K_M.gguf,CPU,0.3,1.0,0.9,20,2048,4,64,64,4,0,f16,q8_0,on,1,50,1,none,"",0.0,0.0,0.00,0.00,0.00,12
40,Llama-3.2-3B-Instruct-Q4_K_M.gguf,CPU,0.3,1.0,0.9,20,4096,4,128,128,4,0,f16,q8_0,on,1,50,1,none,"",0.0,0.0,0.00,0.00,0.00,322
41,LFM2-8B-A1B-Q4_K_M.gguf,CPU,0.3,1.1,0.95,40,512,4,64,64,8,0,f16,f16,off,1,50,1,none,"",0.0,0.0,0.00,0.00,0.00,3546
